date_extraction,activite,activite_emprunteur,activite_emprunteur_bus,activite_emprunteur_med,activite_salle_etude,activite_utilisateur_postes_informatiques,activite_utilisateur_wifi,Tranches d’âge (1),Tranches d’âge (2),Roubaisien ou non,Code IRIS de Roubaix,Nom de l’IRIS à Roubaix,Commune de résidence,inscription_attribut_action,inscription_attribut_zebre,inscription_carte,nombre d’années d’adhésion,type_inscription,nb_venues,nb_venues_postes_informatiques,nb_venues_prets,nb_venues_prets_bus,nb_venues_prets_mediatheque,nb_venues_salle_etude,nb_venues_wifi,sexe,geo_point_2d
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120502.0,EPEULE CENTRE,ROUBAIX,,,Médiathèque,0,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Homme,"50.6873356245,3.16102905857"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120502.0,EPEULE CENTRE,ROUBAIX,,,Médiathèque,0,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Femme,"50.6873356245,3.16102905857"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120502.0,EPEULE CENTRE,ROUBAIX,,,Médiathèque,5,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6873356245,3.16102905857"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,65 ans et plus,65 - 79 ans,Roubaisien,595120502.0,EPEULE CENTRE,ROUBAIX,,,Médiathèque,13,gratuite,13.0,0.0,13.0,0.0,13.0,0.0,0.0,Homme,"50.6873356245,3.16102905857"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595120502.0,EPEULE CENTRE,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6873356245,3.16102905857"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,03 - 5 ans,Roubaisien,595120502.0,EPEULE CENTRE,ROUBAIX,,,Médiathèque,2,gratuite,3.0,0.0,3.0,0.0,3.0,0.0,0.0,Femme,"50.6873356245,3.16102905857"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,1,gratuite,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,18 - 19 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,03 - 5 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,2.0,1.0,2.0,0.0,2.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,4.0,4.0,1.0,0.0,1.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
